Validation_Set,Topics,Alpha,Beta,Perplexity,U_mass,C_v,C_uci,C_npmi
100% Corpus,10,0.01,0.5,-6.086144991028473,-5.355817896819007,0.2681780501573296,-4.2811435653244985,-0.1396674530595851
100% Corpus,10,0.01,1,-6.098318294704256,-5.347140474612006,0.2619583536290247,-4.294223897496282,-0.13967715842723544
100% Corpus,10,0.01,symmetric,-6.141363663262602,-5.498677631016603,0.2650048429997967,-4.341552279226919,-0.14046167082467703
100% Corpus,10,0.1,0.01,-6.3493505658585745,-5.480885863316289,0.26736035660455515,-4.358692538329471,-0.14139531866453817
100% Corpus,10,0.1,0.1,-6.145083400890315,-5.451873052984672,0.2649578213339897,-4.3347937599289565,-0.1412718479547501
100% Corpus,10,0.1,0.5,-6.094525797003191,-5.61446341154526,0.2734974855396617,-4.481600730850343,-0.14561178664279656
100% Corpus,10,0.1,1,-6.107323800257461,-5.370381712847992,0.2766660528925416,-4.238307834650916,-0.13762783150657926
100% Corpus,10,0.1,symmetric,-6.145000469160128,-5.452265429387871,0.2649578213339897,-4.3347937599289565,-0.1412718479547501
100% Corpus,10,0.5,0.01,-6.436240983472055,-5.638477537040162,0.27428552205879864,-4.56445702444263,-0.14686759634720695
100% Corpus,10,0.5,0.1,-6.21871121654394,-5.7476453842704505,0.2772951712562698,-4.572455967804385,-0.14644450298058465
100% Corpus,10,0.5,0.5,-6.16528375126467,-5.719431434240649,0.2830363024389597,-4.594871183665594,-0.14765599017586775
100% Corpus,10,0.5,1,-6.183063489754958,-5.590214713863509,0.2847080345036197,-4.450105600321552,-0.14199057065155823
100% Corpus,10,0.5,symmetric,-6.218714213963037,-5.7476453842704505,0.2772951712562698,-4.572455967804385,-0.14644450298058465
100% Corpus,10,1,0.01,-6.510859678634623,-5.767380263436993,0.2908723791377136,-4.683626033682151,-0.14610082545022882
100% Corpus,10,1,0.1,-6.2822645514966124,-5.877319933356665,0.2900488981155903,-4.7631444263168765,-0.14840688528810828
100% Corpus,10,1,0.5,-6.22029664266656,-5.6388056892851015,0.2789295477361836,-4.61531592454052,-0.14135554803804054
100% Corpus,10,1,1,-6.237373170773022,-5.709353960412723,0.2846615311187646,-4.563598744071007,-0.1390574324282563
100% Corpus,10,1,symmetric,-6.282264378009443,-5.877319933356665,0.2900488981155903,-4.7631444263168765,-0.14840688528810828
100% Corpus,10,symmetric,0.01,-6.3493688591061375,-5.480521825798771,0.26736035660455515,-4.358692538329471,-0.14139531866453817
100% Corpus,10,symmetric,0.1,-6.1450484161493835,-5.452304740383976,0.2649578213339897,-4.3347937599289565,-0.1412718479547501
100% Corpus,10,symmetric,0.5,-6.094545863994283,-5.616263190057113,0.2717695088312695,-4.482307440072445,-0.14554627868896258
100% Corpus,10,symmetric,1,-6.107256994234163,-5.3847223047892525,0.2767606060487219,-4.227864987431621,-0.13719443880043447
100% Corpus,10,symmetric,symmetric,-6.14506513275754,-5.45197244047826,0.2649578213339897,-4.3347937599289565,-0.1412718479547501
100% Corpus,10,asymmetric,0.01,-6.35087830730282,-5.477475693076618,0.2694162580840684,-4.330186464168245,-0.1390465643604086
100% Corpus,10,asymmetric,0.1,-6.146628548091869,-5.582399388280882,0.2695166680010385,-4.466697807301352,-0.1432476807110373
100% Corpus,10,asymmetric,0.5,-6.09560304794973,-5.480954690742172,0.2606458125527519,-4.387428333916083,-0.1388585452298024
100% Corpus,10,asymmetric,1,-6.111151737662799,-5.485947264268764,0.2686044498811549,-4.314618257625129,-0.1379234830893406
100% Corpus,10,asymmetric,symmetric,-6.146685826948013,-5.583104532673244,0.2695166680010385,-4.466697807301352,-0.1432476807110373
100% Corpus,15,0.01,0.01,-6.348500376386957,-5.528044364203599,0.27015103093445714,-4.74446882133663,-0.14975270163434592
100% Corpus,15,0.01,0.1,-6.08151758365465,-5.646035075083633,0.27456004577715487,-4.888528127488629,-0.1544198471040888
100% Corpus,15,0.01,0.5,-6.012548451950699,-5.7458384178849,0.2822021659962118,-4.904739656702173,-0.15330421402050998
100% Corpus,15,0.01,1,-6.0391174773824545,-5.6636928477787825,0.27405769689740717,-4.865637058441653,-0.153407209770094
100% Corpus,15,0.01,symmetric,-6.116506056318305,-5.6574619941502275,0.27433297156388464,-4.810733858595984,-0.15179919659229849
100% Corpus,15,0.1,0.01,-6.36146479638484,-6.044951140805643,0.28350502641394587,-5.0081892156034735,-0.15787300278248131
100% Corpus,15,0.1,0.1,-6.096249652190928,-5.80032424689958,0.2781371119801624,-4.876685890820323,-0.15303775421455929
100% Corpus,15,0.1,0.5,-6.040253137825058,-5.654930582130787,0.2766803991143165,-4.775750458321803,-0.1484263629664511
100% Corpus,15,0.1,1,-6.069806355964757,-5.742192049548962,0.2751981811434929,-4.898228341242216,-0.1521437789491121
